"","participantId","clockwise","correct","rt","sessionNo","trialNo","rotation","noise","triggerTime","responseStart","responseEnd"
"1","MAPL902",TRUE,TRUE,0.27,1,1,0,0,NA,NA,NA
"2","MAPL902",FALSE,TRUE,0.31,1,2,0,0,NA,NA,NA
"3","MAPL902",TRUE,TRUE,0.14,1,3,0,0,NA,NA,NA
"4","MAPL902",TRUE,TRUE,0.24,1,4,1,0,NA,NA,NA
"5","MAPL902",FALSE,TRUE,0.44,1,5,1,0,NA,NA,NA
"6","MAPL902",FALSE,TRUE,0.22,1,6,1,0,NA,NA,NA
"7","MAPL902",TRUE,TRUE,0.21,1,7,2,0,NA,NA,NA
"8","MAPL902",FALSE,TRUE,0.21,1,8,2,0,NA,NA,NA
"9","MAPL902",TRUE,TRUE,0.11,1,9,2,0,NA,NA,NA
"10","MAPL902",TRUE,TRUE,0.09,1,10,3,0,NA,NA,NA
"11","MAPL902",TRUE,TRUE,0.13,1,11,3,0,NA,NA,NA
"12","MAPL902",TRUE,TRUE,0.14,1,12,3,0,NA,NA,NA
"13","MAPL902",TRUE,TRUE,0.15,1,13,4,0,NA,NA,NA
"14","MAPL902",FALSE,TRUE,0.12,1,14,4,0,NA,NA,NA
"15","MAPL902",FALSE,TRUE,0.16,1,15,4,0,NA,NA,NA
"16","MAPL902",FALSE,TRUE,0.17,1,16,5,0,NA,NA,NA
"17","MAPL902",TRUE,TRUE,0.23,1,17,5,0,NA,NA,NA
"18","MAPL902",TRUE,TRUE,0.22,1,18,5,0,NA,NA,NA
"19","MAPL902",TRUE,TRUE,0,1,19,6,0,NA,NA,NA
"20","MAPL902",TRUE,TRUE,0.06,1,20,6,0,NA,NA,NA
"21","MAPL902",TRUE,TRUE,0.21,1,21,6,0,NA,NA,NA
"22","MAPL902",TRUE,TRUE,0.08,1,22,7,0,NA,NA,NA
"23","MAPL902",FALSE,TRUE,0.27,1,23,7,0,NA,NA,NA
"24","MAPL902",FALSE,TRUE,0.22,1,24,7,0,NA,NA,NA
"25","MAPL902",TRUE,TRUE,0.14,1,25,8,0,NA,NA,NA
